img,probability
mixed/508639-short-fooocus.png,1.0
mixed/000000091779.jpg,0.0
mixed/000000340015.jpg,0.0
mixed/104619-long-fooocus.png,1.0
mixed/39769-short-sdxl.jpg,0.5378
mixed/537270-short-fooocus.png,1.0
mixed/395343-short-sdxl.jpg,0.9076
mixed/522713-short-sdxl.jpg,0.7905
mixed/000000322895.jpg,0.0
mixed/91654-short-fooocus.png,1.0
mixed/176701-long-fooocus.png,1.0
mixed/463647-short-sdxl.jpg,0.5607
mixed/385997-short-fooocus.png,1.0
mixed/000000335529.jpg,0.0
mixed/415727-short-sdxl.jpg,0.6112
mixed/325114-short-sdxl.jpg,0.5575
mixed/16439-short-fooocus.png,1.0
mixed/000000455267.jpg,0.0
mixed/556498-long-fooocus.png,1.0
mixed/327780-long-sdxl.jpg,0.597
mixed/304817-short-sdxl.jpg,0.9102
mixed/377882-short-sdxl.jpg,0.5562
mixed/129113-long-fooocus.png,1.0
mixed/173183-short-fooocus.png,1.0
mixed/434297-long-sdxl.jpg,0.7588
mixed/500211-short-fooocus.png,1.0
mixed/176634-short-fooocus.png,1.0
mixed/363840-long-fooocus.png,1.0
mixed/000000165831.jpg,0.0
mixed/000000456559.jpg,0.0019
mixed/557501-long-sdxl.jpg,0.8175
mixed/000000467848.jpg,0.0
mixed/518326-long-sdxl.jpg,0.9193
mixed/000000480212.jpg,0.0
mixed/000000450303.jpg,0.0
mixed/000000363840.jpg,0.0
mixed/000000365745.jpg,0.0
mixed/000000046031.jpg,0.0
mixed/000000444275.jpg,0.0
mixed/368684-short-sdxl.jpg,0.9178
mixed/269682-short-fooocus.png,1.0
mixed/000000039769.jpg,0.0
mixed/541773-short-sdxl.jpg,0.5866
mixed/217425-long-fooocus.png,1.0
mixed/375493-long-sdxl.jpg,0.7743
mixed/000000327780.jpg,0.0
mixed/24144-short-fooocus.png,1.0
mixed/301867-long-fooocus.png,1.0
mixed/94185-short-fooocus.png,1.0
mixed/000000433134.jpg,0.0
mixed/475678-short-fooocus.png,1.0
mixed/000000401446.jpg,0.0
mixed/000000570834.jpg,0.0
mixed/560256-short-fooocus.png,1.0
mixed/000000120420.jpg,0.0
mixed/000000113589.jpg,0.0
mixed/547144-long-fooocus.png,1.0
mixed/220732-short-sdxl.jpg,0.7042
mixed/296222-long-fooocus.png,1.0
mixed/104612-long-fooocus.png,1.0
mixed/000000370999.jpg,0.0004
mixed/000000547144.jpg,0.0
mixed/25593-long-fooocus.png,1.0
mixed/000000369757.jpg,0.0
mixed/160666-long-sdxl.jpg,0.6038
mixed/492284-long-fooocus.png,1.0
mixed/308753-long-sdxl.jpg,0.5378
mixed/400922-long-sdxl.jpg,0.4321
mixed/000000034452.jpg,0.0
mixed/384616-short-fooocus.png,1.0
mixed/283717-long-fooocus.png,1.0
mixed/53626-short-fooocus.png,1.0
mixed/159458-long-fooocus.png,1.0
mixed/91779-long-sdxl.jpg,0.9528
mixed/000000234757.jpg,0.0
mixed/318455-short-sdxl.jpg,0.5636
mixed/69795-short-sdxl.jpg,0.6442
mixed/195842-long-sdxl.jpg,0.7334
mixed/000000235064.jpg,0.0
mixed/394199-long-sdxl.jpg,0.7468
mixed/221017-short-sdxl.jpg,0.8162
mixed/168593-long-sdxl.jpg,0.8265
mixed/000000073326.jpg,0.0
mixed/33114-short-sdxl.jpg,0.1436
mixed/121153-long-fooocus.png,1.0
mixed/199681-long-sdxl.jpg,0.6136
mixed/000000572303.jpg,0.0
mixed/000000176701.jpg,0.0
mixed/521601-long-sdxl.jpg,0.6992
mixed/000000161008.jpg,0.0
mixed/000000517056.jpg,0.0
mixed/210299-short-fooocus.png,1.0
mixed/000000541773.jpg,0.0
mixed/329455-short-fooocus.png,1.0
mixed/103548-short-sdxl.jpg,0.6103
mixed/488075-short-sdxl.jpg,0.2633
mixed/116206-long-sdxl.jpg,0.8361
mixed/500663-long-sdxl.jpg,0.5483
mixed/000000166642.jpg,0.0
mixed/389684-long-sdxl.jpg,0.6971
mixed/570688-short-sdxl.jpg,0.6617
mixed/356347-long-fooocus.png,1.0
mixed/335658-short-fooocus.png,1.0
mixed/34452-short-fooocus.png,1.0
mixed/000000293390.jpg,0.0
mixed/000000181816.jpg,0.0
mixed/227985-long-fooocus.png,1.0
mixed/234660-long-fooocus.png,1.0
mixed/227187-short-sdxl.jpg,0.4887
mixed/546826-long-sdxl.jpg,0.6081
mixed/472030-short-sdxl.jpg,0.5043
mixed/000000159458.jpg,0.0
mixed/166642-long-fooocus.png,1.0
mixed/000000138819.jpg,0.0
mixed/456559-long-sdxl.jpg,0.7115
mixed/191471-long-sdxl.jpg,0.5883
mixed/000000148707.jpg,0.0
mixed/196843-long-fooocus.png,1.0
mixed/000000415727.jpg,0.0
mixed/217753-short-fooocus.png,1.0
